Staff_Id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlySalary,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Quarter1_KPI_Score,Quarter2_KPI_Score,Quarter3_KPI_Score,Quarter4_KPI_Score
SN00001,50.0,Travel_Rarely,1126.0,Research & Development,1,2,Medical,997,4,Male,3,4,Research Director,4,Divorced,17399,9,Y,No,22,4,3,80,1,32,1,2,5,4,1,3,50,27,58,55
SN00002,36.0,Travel_Rarely,216.0,Research & Development,6,2,Medical,178,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1,42,29,56,53
SN00004,50.0,Travel_Frequently,1246.0,Human Resources,0,3,Medical,644,1,Male,3,5,Manager,2,Married,18200,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,51,37,61,61
SN00005,52.0,Travel_Rarely,994.0,Research & Development,7,4,Life Sciences,1118,2,Male,3,3,Healthcare Representative,2,Single,10445,7,Y,No,19,3,4,80,0,18,4,3,8,6,4,0,67,51,71,71
SN00007,47.0,Travel_Rarely,1001.0,Research & Development,4,3,Life Sciences,1827,3,Female,2,3,Manufacturing Director,2,Divorced,10333,8,Y,Yes,12,3,3,80,1,28,4,3,22,11,14,10,62,51,74,76
SN00008,22.0,Travel_Rarely,1230.0,Research & Development,1,2,Life Sciences,872,4,Male,2,2,Manufacturing Director,4,Married,4775,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2,55,35,60,59
SN00010,33.0,Non-Travel,530.0,Sales,16,3,Life Sciences,1681,3,Female,3,2,Sales Executive,4,Divorced,5368,1,Y,Yes,25,4,3,80,1,7,2,3,6,5,1,2,58,31,59,63
SN00011,40.0,Travel_Rarely,630.0,Sales,4,4,Marketing,215,3,Male,2,3,Sales Executive,4,Single,10855,7,Y,No,11,3,1,80,1,15,2,2,12,11,2,11,59,36,65,59
SN00012,27.0,Travel_Frequently,793.0,Sales,2,1,Life Sciences,1371,4,Male,1,2,Sales Executive,4,Single,5071,3,Y,No,20,4,2,80,0,8,3,3,6,2,0,0,51,46,65,71
SN00013,40.0,Travel_Rarely,543.0,Research & Development,1,4,Life Sciences,2012,1,Male,3,1,Laboratory Technician,4,Married,2406,8,Y,No,19,3,3,80,2,8,3,2,1,0,0,0,51,45,73,66
SN00014,55.0,Travel_Frequently,1091.0,Research & Development,2,1,Life Sciences,1096,4,Male,3,3,Manufacturing Director,2,Married,10976,3,Y,No,18,3,2,80,1,23,4,3,3,2,1,2,65,52,78,71
SN00017,34.0,Travel_Rarely,511.0,Sales,0,2,Life Sciences,1779,4,Female,1,2,Sales Executive,4,Single,6029,5,Y,No,12,3,1,80,0,6,3,3,2,2,2,2,65,43,71,71
SN00018,46.0,Travel_Rarely,168.0,Sales,4,2,Marketing,1280,4,Female,2,5,Manager,2,Married,18789,2,Y,No,14,3,3,80,1,26,2,3,11,4,0,8,54,39,63,59
SN00019,38.0,Travel_Rarely,1245.0,Sales,14,3,Life Sciences,1582,3,Male,3,2,Sales Executive,2,Married,9924,0,Y,No,11,3,4,80,1,10,3,3,9,8,7,7,53,47,65,71
SN00020,30.0,Travel_Rarely,1138.0,Research & Development,6,3,Technical Degree,1311,1,Female,2,2,Laboratory Technician,4,Married,4627,0,Y,No,12,3,1,80,1,10,6,3,9,2,6,7,83,53,87,82
SN00021,34.0,Travel_Rarely,829.0,Human Resources,0,2,Human Resources,847,3,Male,3,1,Human Resources,4,Married,3737,0,Y,No,19,3,3,80,1,4,1,1,3,2,0,2,50,29,57,59
SN00022,34.0,Travel_Rarely,1130.0,Research & Development,0,3,Life Sciences,1658,4,Female,3,2,Research Scientist,2,Divorced,5433,1,Y,No,12,3,3,80,1,11,2,3,11,8,7,9,63,38,60,65
SN00023,36.0,Non-Travel,301.0,Sales,15,4,Marketing,2036,4,Male,1,2,Sales Executive,4,Divorced,5406,1,Y,No,24,4,1,80,1,15,4,2,15,12,11,11,68,45,79,82
SN00024,,Travel_Rarely,1146.0,Human Resources,26,4,Life Sciences,2040,3,Female,3,3,Human Resources,4,Single,8837,1,Y,Yes,16,3,3,80,0,9,2,3,9,0,1,7,59,40,60,63
SN00025,,Travel_Rarely,1276.0,Research & Development,16,3,Life Sciences,586,4,Male,3,3,Healthcare Representative,3,Married,7632,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0,59,30,65,61
SN00026,40.0,Travel_Rarely,611.0,Sales,7,4,Medical,1740,2,Male,3,5,Manager,2,Single,19833,1,Y,No,14,3,2,80,0,21,3,2,21,8,12,8,67,44,68,65
SN00027,24.0,Travel_Rarely,1353.0,Sales,0,2,Other,128,1,Female,3,2,Sales Executive,3,Married,4999,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,56,34,63,63
SN00028,53.0,Travel_Rarely,1376.0,Sales,2,2,Medical,981,3,Male,3,4,Manager,3,Divorced,14852,6,Y,No,13,3,3,80,1,22,3,4,17,13,15,2,62,47,73,71
SN00029,32.0,Travel_Rarely,977.0,Research & Development,2,3,Medical,1671,4,Male,3,2,Research Scientist,2,Divorced,5470,0,Y,No,13,3,3,80,2,10,4,2,9,5,1,6,68,51,82,77
SN00031,55.0,Travel_Rarely,1229.0,Research & Development,4,4,Life Sciences,1501,4,Male,3,2,Healthcare Representative,3,Married,4035,0,Y,Yes,16,3,2,80,0,4,2,3,3,2,1,2,56,36,63,61
