staff_id,age,gender,department,jobrole,total_kpi_scores
SN00001,50,Male,"Research & Development","Research Director",43
SN00002,36,Male,"Research & Development","Manufacturing Director",41
SN00004,50,Male,"Human Resources",Manager,48
SN00008,22,Male,"Research & Development","Manufacturing Director",49
SN00010,33,Female,Sales,"Sales Executive",47
SN00011,40,Male,Sales,"Sales Executive",51
SN00012,27,Male,Sales,"Sales Executive",54
SN00013,40,Male,"Research & Development","Laboratory Technician",54
SN00017,34,Female,Sales,"Sales Executive",59
SN00018,46,Female,Sales,Manager,50
SN00019,38,Male,Sales,"Sales Executive",56
SN00021,34,Male,"Human Resources","Human Resources",45
SN00022,34,Female,"Research & Development","Research Scientist",53
SN00026,40,Male,Sales,Manager,58
SN00027,24,Female,Sales,"Sales Executive",49
SN00031,55,Male,"Research & Development","Healthcare Representative",49
SN00032,30,Female,"Research & Development","Manufacturing Director",50
SN00035,51,Male,"Research & Development","Manufacturing Director",51
SN00041,29,Female,"Research & Development","Research Scientist",51
SN00042,43,Male,"Research & Development","Research Director",54
SN00043,40,Female,"Research & Development","Research Scientist",55
SN00047,47,Female,"Research & Development","Research Director",48
SN00048,32,Male,"Research & Development","Laboratory Technician",49
SN00049,38,Female,"Research & Development","Research Scientist",58
SN00050,51,Male,"Human Resources",Manager,52
SN00051,58,Male,"Research & Development","Healthcare Representative",52
SN00054,56,Male,"Research & Development","Healthcare Representative",44
SN00055,37,Female,"Research & Development","Healthcare Representative",59
SN00056,37,Male,Sales,"Sales Executive",50
SN00057,39,Male,Sales,"Sales Executive",57
SN00060,32,Female,"Research & Development","Laboratory Technician",49
SN00061,48,Female,Sales,Manager,55
SN00062,33,Female,"Research & Development","Healthcare Representative",51
SN00065,38,Male,"Research & Development","Healthcare Representative",51
SN00066,38,Male,Sales,"Sales Executive",55
SN00067,43,Male,Sales,"Sales Executive",58
SN00068,37,Male,"Research & Development","Research Scientist",54
SN00075,27,Female,"Research & Development","Healthcare Representative",48
SN00077,31,Female,"Research & Development","Laboratory Technician",39
SN00079,29,Female,"Research & Development","Research Director",51
SN00081,38,Male,Sales,"Sales Representative",55
SN00083,42,Female,"Research & Development","Research Director",46
SN00086,36,Male,"Research & Development","Healthcare Representative",52
SN00087,27,Male,Sales,"Sales Executive",59
SN00088,40,Male,Sales,"Sales Executive",53
SN00089,34,Male,Sales,"Sales Executive",52
SN00090,43,Female,"Research & Development","Healthcare Representative",43
SN00092,41,Male,"Research & Development","Research Scientist",59
SN00094,45,Male,"Research & Development","Healthcare Representative",58
SN00096,27,Female,"Research & Development","Research Scientist",48
SN00097,36,Male,"Research & Development","Laboratory Technician",55
SN00099,31,Male,"Research & Development","Research Scientist",42
SN00101,32,Male,"Research & Development","Laboratory Technician",58
SN00102,36,Male,"Research & Development","Manufacturing Director",41
SN00107,29,Female,"Research & Development","Research Scientist",43
SN00108,41,Female,"Research & Development","Research Director",58
SN00109,30,Male,"Human Resources","Human Resources",53
SN00110,39,Male,"Research & Development","Research Director",58
SN00112,31,Male,"Research & Development","Manufacturing Director",47
SN00114,42,Female,"Research & Development","Research Scientist",56
SN00115,31,Female,"Research & Development","Manufacturing Director",47
SN00117,34,Male,"Research & Development","Healthcare Representative",57
SN00118,33,Male,Sales,Manager,46
SN00120,40,Female,Sales,"Sales Executive",59
SN00121,33,Male,Sales,"Sales Executive",54
SN00122,34,Female,Sales,"Sales Executive",55
SN00125,33,Female,"Research & Development","Research Scientist",58
SN00126,45,Male,"Research & Development","Laboratory Technician",50
SN00128,31,Male,Sales,"Sales Executive",54
SN00129,32,Male,"Research & Development","Laboratory Technician",51
SN00133,33,Female,Sales,"Sales Executive",57
SN00135,41,Male,"Research & Development","Research Scientist",47
SN00137,38,Male,"Research & Development","Healthcare Representative",53
SN00139,53,Female,"Research & Development","Research Director",42
SN00140,30,Male,Sales,"Sales Executive",53
SN00142,30,Male,"Research & Development","Laboratory Technician",53
SN00143,58,Female,"Research & Development","Research Director",55
SN00144,34,Male,Sales,"Sales Executive",51
SN00146,51,Female,Sales,"Sales Executive",49
SN00147,39,Male,"Research & Development",Manager,58
SN00148,36,Male,Sales,"Sales Executive",58
SN00149,32,Female,Sales,"Sales Executive",51
SN00151,57,Male,"Research & Development","Research Scientist",48
SN00152,57,Male,Sales,Manager,56
SN00153,40,Female,"Research & Development","Research Scientist",51
SN00155,53,Male,"Research & Development","Healthcare Representative",53
SN00156,38,Female,"Research & Development","Laboratory Technician",56
SN00157,36,Male,"Human Resources","Human Resources",51
SN00159,38,Female,"Research & Development","Research Director",58
SN00160,47,Male,"Research & Development","Healthcare Representative",55
SN00163,36,Male,"Research & Development","Manufacturing Director",57
SN00165,34,Female,"Research & Development","Research Scientist",58
SN00167,30,Male,"Research & Development","Manufacturing Director",55
SN00170,60,Male,Sales,"Sales Executive",46
SN00172,45,Male,"Research & Development","Research Scientist",56
SN00173,56,Male,"Research & Development","Manufacturing Director",54
SN00180,39,Male,"Research & Development","Manufacturing Director",58
SN00181,48,Male,"Research & Development","Research Director",57
SN00184,21,Male,Sales,"Sales Representative",55
SN00185,32,Male,Sales,"Sales Executive",53
SN00187,59,Female,"Research & Development","Laboratory Technician",56
SN00188,45,Male,"Research & Development","Laboratory Technician",51
SN00190,36,Male,"Research & Development","Research Scientist",52
SN00192,41,Female,Sales,Manager,53
SN00193,42,Female,"Research & Development","Research Scientist",47
SN00194,42,Male,Sales,"Sales Executive",46
SN00195,24,Female,Sales,"Sales Representative",49
SN00197,43,Female,"Research & Development","Healthcare Representative",51
SN00199,38,Male,"Research & Development","Research Scientist",42
SN00201,53,Female,Sales,"Sales Executive",56
SN00202,43,Female,"Research & Development","Manufacturing Director",44
SN00206,29,Female,"Research & Development","Healthcare Representative",54
SN00207,37,Male,"Research & Development","Research Scientist",44
SN00208,50,Female,"Research & Development","Research Director",44
SN00209,29,Male,Sales,"Sales Executive",59
SN00210,33,Female,"Research & Development","Research Director",41
SN00211,55,Male,"Research & Development",Manager,54
SN00213,30,Male,"Research & Development","Research Scientist",47
SN00214,49,Male,"Research & Development",Manager,52
SN00215,47,Male,"Research & Development","Manufacturing Director",57
SN00217,47,Female,"Research & Development","Laboratory Technician",47
SN00218,58,Male,"Research & Development","Research Scientist",56
SN00220,29,Female,"Research & Development","Research Scientist",57
SN00221,50,Male,"Research & Development","Laboratory Technician",57
SN00222,32,Female,"Research & Development","Laboratory Technician",54
SN00224,38,Male,"Human Resources","Human Resources",49
SN00226,40,Male,Sales,"Sales Executive",50
SN00227,45,Female,"Research & Development","Research Scientist",56
SN00228,46,Female,"Research & Development","Healthcare Representative",59
SN00230,34,Male,"Research & Development","Research Scientist",57
SN00231,55,Male,"Research & Development","Healthcare Representative",54
SN00232,19,Female,"Research & Development","Research Scientist",51
SN00233,32,Male,"Research & Development","Manufacturing Director",58
SN00234,40,Male,"Research & Development","Laboratory Technician",49
SN00237,48,Male,"Research & Development","Research Scientist",48
SN00238,45,Male,"Research & Development",Manager,44
SN00240,36,Male,Sales,"Sales Executive",51
SN00242,46,Female,"Research & Development","Research Scientist",52
SN00245,52,Female,"Research & Development","Manufacturing Director",56
SN00246,51,Female,"Research & Development","Healthcare Representative",43
SN00248,36,Male,Sales,"Sales Representative",57
SN00250,31,Male,Sales,"Sales Executive",56
SN00251,44,Female,Sales,"Sales Executive",52
SN00257,50,Male,"Research & Development","Laboratory Technician",50
SN00258,39,Female,Sales,"Sales Executive",46
SN00259,30,Female,"Research & Development","Manufacturing Director",58
SN00260,30,Male,"Research & Development","Laboratory Technician",43
SN00261,29,Male,Sales,"Sales Executive",55
SN00262,59,Female,"Human Resources",Manager,58
SN00263,36,Female,"Research & Development","Research Director",53
SN00267,37,Female,"Research & Development","Research Scientist",53
SN00268,38,Female,"Research & Development","Research Director",48
SN00269,41,Male,Sales,"Sales Executive",54
SN00270,29,Female,"Research & Development","Research Scientist",50
SN00271,45,Male,"Research & Development","Research Scientist",54
SN00274,42,Male,"Research & Development",Manager,56
SN00275,48,Male,"Research & Development","Research Director",56
SN00278,41,Male,"Human Resources","Human Resources",59
SN00280,42,Male,Sales,"Sales Executive",56
SN00281,36,Female,Sales,"Sales Executive",47
SN00284,36,Male,"Research & Development","Healthcare Representative",50
SN00286,43,Female,Sales,Manager,58
SN00287,36,Female,Sales,"Sales Representative",46
SN00289,36,Female,"Research & Development","Laboratory Technician",53
SN00292,33,Male,"Research & Development","Research Scientist",44
